               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034837,            0.030066,           0.0037597,             0.92465,             0.81193,             0.90876,             0.55734,            0.039553,            0.026837,             0.00514,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035363,            0.031362,           0.0040246,              0.9207,             0.75857,             0.88973,             0.54046,            0.039924,            0.029979,           0.0064724,            0.008218,            0.008218,            0.008218
                  38,            0.034509,            0.030617,           0.0040093,             0.86754,             0.51968,             0.65403,             0.36398,            0.053191,            0.049576,            0.023687,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033922,            0.030316,           0.0041052,             0.92902,             0.77265,             0.89233,             0.56462,            0.038814,            0.028863,            0.005616,            0.008119,            0.008119,            0.008119
                  40,            0.033569,            0.029741,           0.0036376,              0.9431,             0.81413,             0.91153,              0.5663,            0.038428,            0.026238,           0.0061346,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035081,            0.031129,           0.0039862,             0.92746,             0.86866,             0.93574,             0.58339,            0.037628,            0.026333,           0.0047779,             0.00802,             0.00802,             0.00802
                  42,            0.033174,            0.029902,            0.003672,             0.93203,             0.88013,             0.94239,             0.59457,            0.037247,            0.024522,           0.0054237,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034342,            0.030124,           0.0040981,             0.91581,             0.86632,             0.92871,             0.57817,            0.038687,            0.026691,           0.0046906,            0.007921,            0.007921,            0.007921
                  44,            0.035597,             0.03168,           0.0039338,             0.93024,             0.84416,             0.92086,             0.55557,            0.038773,            0.026081,           0.0053396,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035751,            0.031469,           0.0040181,              0.9083,             0.81233,             0.90705,             0.50799,            0.041903,            0.027199,           0.0047988,            0.007822,            0.007822,            0.007822
                  46,            0.036531,            0.031784,           0.0037416,             0.91783,             0.82735,              0.9221,             0.58199,            0.038786,            0.025759,           0.0062195,           0.0077725,           0.0077725,           0.0077725
                  47,            0.033802,            0.030672,           0.0040619,             0.91281,             0.80954,             0.90886,             0.55322,            0.040079,            0.030243,           0.0054373,            0.007723,            0.007723,            0.007723
                  48,            0.034774,            0.030472,           0.0038981,             0.93484,             0.80297,             0.90562,             0.56606,            0.038099,            0.027684,           0.0058448,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034599,            0.029958,           0.0037809,             0.90271,             0.86938,               0.933,             0.56955,            0.039648,            0.026337,           0.0055003,            0.007624,            0.007624,            0.007624
                  50,            0.035467,            0.030536,           0.0038731,              0.9432,             0.84496,              0.9295,              0.5691,             0.03814,            0.025453,           0.0048906,           0.0075745,           0.0075745,           0.0075745
                  51,            0.036061,            0.030377,           0.0036235,             0.92463,             0.82708,             0.93429,             0.57785,            0.039485,              0.0258,            0.006913,            0.007525,            0.007525,            0.007525
                  52,            0.034632,              0.0313,           0.0035977,             0.93948,             0.87192,             0.94155,             0.59742,            0.037461,            0.025343,           0.0048872,           0.0074755,           0.0074755,           0.0074755
